GENDER_CD,Group,Group2,BIPOCFmt,FGFmt,CCHE_FAFSA_CODE,Pell,AGI,FedGrants,FedStudentLoans,FedWorkStudy,InstNeedBasedGrants,InstNonNeedBasedGrants,PrivateSchol,TotalStudentLoans,EFC,FAFSA,GotFedGrants,GotFedStudentLoans,GotFedWorkStudy,FedTotal,GotFedAny,GotPrivateSchol,GotStudentLoans,GotInstNBGrant,GotInstNonNeedGrant,GotAidAny,GotNBAid
M,3. Other,2. Other,Not BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,Not BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,Not BIPOC,Not first gen,1,1,22499,1920.5,5500,,,,,5500,4185,1,1,1,0,7420.5,1,0,1,0,0,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,1,0,11753,,12500,,,2000,,12500,0,1,0,1,0,12500,1,0,1,0,1,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,1,0,47840,,2979,,,,,2979,14017,1,0,1,0,2979,1,0,1,0,0,1,1
F,3. Other,2. Other,BIPOC,First gen,1,1,0,3172.5,6250,,,,,6250,0,1,1,1,0,9422.5,1,0,1,0,0,1,1
M,3. Other,2. Other,BIPOC,First gen,1,0,14514,,,,,,,,1043,1,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,BIPOC,First gen,1,1,46932,5095,,,4400,,,,1219,1,1,0,0,5095,1,0,0,1,0,1,1
M,2. Small Rural,1. Rural/Small Rural,BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,Not BIPOC,Not first gen,1,0,57586,,,,,,,2740,18374,1,0,0,0,,0,0,1,0,0,1,0
F,3. Other,2. Other,Not BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
