GENDER,BIPOCFmt,FGFmt,PellFmt,Group2,EYEAR,N,Ret2nd,Ret3rd,Ret4th,GradIn4,GradIn5,GradIn6,GradTerm
F,BIPOC,First gen,Not Pell,1. Rural/Small Rural,2014,3,1,1,1,1,1,1,11
F,BIPOC,First gen,Not Pell,1. Rural/Small Rural,2015,3,1,1,1,1,1,,10.33333333
F,BIPOC,First gen,Not Pell,1. Rural/Small Rural,2016,4,1,1,1,1,,,11
F,BIPOC,First gen,Not Pell,1. Rural/Small Rural,2017,4,0.75,0.75,0.75,,,,
F,BIPOC,First gen,Not Pell,1. Rural/Small Rural,2018,3,1,0.666666667,,,,,
F,BIPOC,First gen,Not Pell,1. Rural/Small Rural,2019,9,0.888888889,,,,,,
F,BIPOC,First gen,Not Pell,2. Other,2014,58,0.775862069,0.672413793,0.655172414,0.482758621,0.586206897,0.603448276,11.88888889
F,BIPOC,First gen,Not Pell,2. Other,2015,62,0.774193548,0.709677419,0.693548387,0.387096774,0.580645161,,12
F,BIPOC,First gen,Not Pell,2. Other,2016,58,0.827586207,0.775862069,0.745454545,0.551724138,,,10.88235294
F,BIPOC,First gen,Not Pell,2. Other,2017,58,0.75862069,0.672413793,0.684210526,,,,9.666666667
F,BIPOC,First gen,Not Pell,2. Other,2018,55,0.854545455,0.745454545,,,,,
F,BIPOC,First gen,Not Pell,2. Other,2019,93,0.806451613,,,,,,
F,BIPOC,First gen,Pell,1. Rural/Small Rural,2014,10,0.9,0.9,0.9,0.5,0.8,0.9,12.33333333
F,BIPOC,First gen,Pell,1. Rural/Small Rural,2015,7,0.857142857,0.857142857,0.833333333,0.571428571,0.714285714,,11
F,BIPOC,First gen,Pell,1. Rural/Small Rural,2016,1,0,1,1,1,,,12
F,BIPOC,First gen,Pell,1. Rural/Small Rural,2017,7,1,1,0.857142857,,,,
F,BIPOC,First gen,Pell,1. Rural/Small Rural,2018,2,1,1,,,,,
F,BIPOC,First gen,Pell,1. Rural/Small Rural,2019,12,0.833333333,,,,,,
F,BIPOC,First gen,Pell,2. Other,2014,105,0.904761905,0.80952381,0.757281553,0.40952381,0.580952381,0.666666667,12.49295775
F,BIPOC,First gen,Pell,2. Other,2015,121,0.884297521,0.826446281,0.783333333,0.487603306,0.67768595,,12.05813953
F,BIPOC,First gen,Pell,2. Other,2016,138,0.869565217,0.789855072,0.776119403,0.514492754,,,11.26829268
F,BIPOC,First gen,Pell,2. Other,2017,123,0.894308943,0.861788618,0.841666667,,,,9.4
F,BIPOC,First gen,Pell,2. Other,2018,140,0.871428571,0.828571429,,,,,7
F,BIPOC,First gen,Pell,2. Other,2019,159,0.905660377,,,,,,
F,BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2014,6,1,1,1,0.666666667,0.833333333,0.833333333,11.4
F,BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2015,4,1,1,1,0.75,1,,11.75
F,BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2016,4,1,0.75,0.75,0.75,,,10.66666667
F,BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2017,11,1,0.909090909,1,,,,10
F,BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2018,7,1,1,,,,,
F,BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2019,9,1,,,,,,
F,BIPOC,Not first gen,Not Pell,2. Other,2014,164,0.902439024,0.853658537,0.832298137,0.573170732,0.774390244,0.786585366,11.87022901
F,BIPOC,Not first gen,Not Pell,2. Other,2015,193,0.89119171,0.85492228,0.830687831,0.580310881,0.772020725,,11.65789474
F,BIPOC,Not first gen,Not Pell,2. Other,2016,218,0.935779817,0.899082569,0.867647059,0.711009174,,,10.89634146
F,BIPOC,Not first gen,Not Pell,2. Other,2017,251,0.90438247,0.864541833,0.849372385,,,,9
F,BIPOC,Not first gen,Not Pell,2. Other,2018,225,0.92,0.871111111,,,,,7
F,BIPOC,Not first gen,Not Pell,2. Other,2019,290,0.910344828,,,,,,
F,BIPOC,Not first gen,Pell,1. Rural/Small Rural,2014,4,1,1,1,1,1,1,11
F,BIPOC,Not first gen,Pell,1. Rural/Small Rural,2015,7,0.714285714,0.714285714,0.714285714,0.285714286,0.714285714,,12.4
F,BIPOC,Not first gen,Pell,1. Rural/Small Rural,2016,6,0.833333333,0.833333333,0.833333333,0.666666667,,,11
F,BIPOC,Not first gen,Pell,1. Rural/Small Rural,2017,9,0.888888889,0.777777778,0.888888889,,,,
F,BIPOC,Not first gen,Pell,1. Rural/Small Rural,2018,2,0.5,0.5,,,,,
F,BIPOC,Not first gen,Pell,1. Rural/Small Rural,2019,3,1,,,,,,
F,BIPOC,Not first gen,Pell,2. Other,2014,84,0.928571429,0.903614458,0.903614458,0.452380952,0.761904762,0.821428571,12.6
F,BIPOC,Not first gen,Pell,2. Other,2015,58,0.862068966,0.789473684,0.727272727,0.5,0.655172414,,11.44736842
F,BIPOC,Not first gen,Pell,2. Other,2016,81,0.913580247,0.901234568,0.875,0.555555556,,,11.32075472
F,BIPOC,Not first gen,Pell,2. Other,2017,70,0.971428571,0.871428571,0.835820896,,,,9.555555556
F,BIPOC,Not first gen,Pell,2. Other,2018,67,0.850746269,0.746268657,,,,,
F,BIPOC,Not first gen,Pell,2. Other,2019,82,0.829268293,,,,,,
F,Not BIPOC,First gen,Not Pell,1. Rural/Small Rural,2014,12,0.916666667,0.833333333,0.916666667,0.583333333,0.833333333,0.833333333,12.2
F,Not BIPOC,First gen,Not Pell,1. Rural/Small Rural,2015,8,0.75,0.625,0.5,0.375,0.625,,12.2
F,Not BIPOC,First gen,Not Pell,1. Rural/Small Rural,2016,7,0.857142857,0.714285714,0.714285714,0.714285714,,,11.2
F,Not BIPOC,First gen,Not Pell,1. Rural/Small Rural,2017,11,1,0.909090909,0.909090909,,,,
F,Not BIPOC,First gen,Not Pell,1. Rural/Small Rural,2018,7,0.714285714,0.5,,,,,6
F,Not BIPOC,First gen,Not Pell,1. Rural/Small Rural,2019,8,0.875,,,,,,
F,Not BIPOC,First gen,Not Pell,2. Other,2014,66,0.833333333,0.772727273,0.765625,0.606060606,0.727272727,0.772727273,11.7254902
F,Not BIPOC,First gen,Not Pell,2. Other,2015,72,0.847222222,0.805555556,0.782608696,0.597222222,0.736111111,,11.40740741
F,Not BIPOC,First gen,Not Pell,2. Other,2016,68,0.867647059,0.805970149,0.806451613,0.661764706,,,10.52173913
F,Not BIPOC,First gen,Not Pell,2. Other,2017,64,0.84375,0.734375,0.716666667,,,,9.25
F,Not BIPOC,First gen,Not Pell,2. Other,2018,56,0.821428571,0.732142857,,,,,
F,Not BIPOC,First gen,Not Pell,2. Other,2019,63,0.777777778,,,,,,
F,Not BIPOC,First gen,Pell,1. Rural/Small Rural,2014,10,0.8,0.8,0.666666667,0.6,0.8,0.8,11.125
F,Not BIPOC,First gen,Pell,1. Rural/Small Rural,2015,5,0.8,0.8,0.8,0.4,0.4,,12.66666667
F,Not BIPOC,First gen,Pell,1. Rural/Small Rural,2016,9,0.666666667,0.666666667,0.625,0.444444444,,,10
F,Not BIPOC,First gen,Pell,1. Rural/Small Rural,2017,4,0.75,0.75,0.75,,,,
F,Not BIPOC,First gen,Pell,1. Rural/Small Rural,2018,5,1,0.6,,,,,
F,Not BIPOC,First gen,Pell,1. Rural/Small Rural,2019,6,0.666666667,,,,,,
F,Not BIPOC,First gen,Pell,2. Other,2014,43,0.930232558,0.837209302,0.790697674,0.488372093,0.744186047,0.813953488,12.4
F,Not BIPOC,First gen,Pell,2. Other,2015,65,0.892307692,0.8,0.78125,0.538461538,0.692307692,,11.57777778
F,Not BIPOC,First gen,Pell,2. Other,2016,44,0.909090909,0.863636364,0.790697674,0.613636364,,,11.06896552
F,Not BIPOC,First gen,Pell,2. Other,2017,42,0.904761905,0.857142857,0.794871795,,,,9
F,Not BIPOC,First gen,Pell,2. Other,2018,44,0.840909091,0.727272727,,,,,
F,Not BIPOC,First gen,Pell,2. Other,2019,47,0.914893617,,,,,,
F,Not BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2014,49,0.897959184,0.918367347,0.893617021,0.714285714,0.87755102,0.897959184,11.5
F,Not BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2015,47,0.872340426,0.893617021,0.85106383,0.680851064,0.808510638,,11.51282051
F,Not BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2016,42,0.857142857,0.80952381,0.738095238,0.595238095,,,11.10714286
F,Not BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2017,46,0.826086957,0.782608696,0.733333333,,,,9.5
F,Not BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2018,44,0.954545455,0.909090909,,,,,
F,Not BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2019,51,0.901960784,,,,,,
F,Not BIPOC,Not first gen,Not Pell,2. Other,2014,559,0.928443649,0.892473118,0.873161765,0.699463327,0.846153846,0.864042934,11.54020619
F,Not BIPOC,Not first gen,Not Pell,2. Other,2015,683,0.910688141,0.875549048,0.871212121,0.693997072,0.838945827,,11.40172414
F,Not BIPOC,Not first gen,Not Pell,2. Other,2016,602,0.916943522,0.88372093,0.866551127,0.76744186,,,10.9
F,Not BIPOC,Not first gen,Not Pell,2. Other,2017,626,0.918530351,0.878594249,0.855241265,,,,9.415584416
F,Not BIPOC,Not first gen,Not Pell,2. Other,2018,666,0.923423423,0.849170437,,,,,6
F,Not BIPOC,Not first gen,Not Pell,2. Other,2019,710,0.911267606,,,,,,
F,Not BIPOC,Not first gen,Pell,1. Rural/Small Rural,2014,19,0.894736842,0.736842105,0.736842105,0.684210526,0.684210526,0.736842105,11.71428571
F,Not BIPOC,Not first gen,Pell,1. Rural/Small Rural,2015,16,0.9375,0.8125,0.6875,0.3125,0.5,,12
F,Not BIPOC,Not first gen,Pell,1. Rural/Small Rural,2016,17,1,0.941176471,0.8125,0.588235294,,,10.81818182
F,Not BIPOC,Not first gen,Pell,1. Rural/Small Rural,2017,20,0.95,0.9,0.894736842,,,,9.6
F,Not BIPOC,Not first gen,Pell,1. Rural/Small Rural,2018,11,0.909090909,0.818181818,,,,,
F,Not BIPOC,Not first gen,Pell,1. Rural/Small Rural,2019,17,1,,,,,,
