Gender,Rural_or_not,BIPOC_or_not,FirstGen_or_not,Completed_FAFSA,Exp_FamilyContribution,Adjusted_GrossIncome,Got_FedGrants,Got_NeedBasedAid,Got_Any_Aid
F,0,0,0,1,4185.0,22499.0,1,1,1
M,0,0,0,1,14017.0,47840.0,0,1,1
M,0,1,1,1,1043.0,14514.0,0,0,0
M,0,1,1,1,1219.0,46932.0,1,1,1
F,0,0,0,1,18374.0,57586.0,0,0,1
F,0,0,1,1,6321.0,28064.0,0,1,1
F,0,1,0,1,2273.0,18449.0,1,1,1
M,0,0,1,1,3392.0,4466.0,1,1,1
M,0,0,0,1,1523.0,15955.0,1,1,1
M,1,0,0,1,12654.0,45158.0,0,0,0
M,0,1,0,1,9677.0,36647.0,0,0,0
F,0,1,0,1,24383.0,78187.0,0,1,1
F,1,1,1,1,21812.0,110369.0,0,1,1
M,0,0,0,1,3077.0,19229.0,1,1,1
M,0,1,0,1,10810.0,39603.0,0,0,1
M,0,0,0,1,9336.0,35787.0,0,0,0
M,0,0,0,1,7966.0,32250.0,0,1,1
F,0,0,1,1,8159.0,11826.0,0,1,1
F,0,0,1,1,8872.0,34635.0,0,1,1
M,0,0,0,1,1885.0,16476.0,1,1,1
M,0,0,0,1,7055.0,62066.0,0,1,1
M,0,1,0,1,7913.0,29270.0,0,1,1
M,0,1,1,1,74475.0,168304.0,0,0,1
F,1,0,1,1,3270.0,20136.0,1,1,1
F,0,0,0,1,21316.0,52699.0,0,0,0
F,0,1,0,1,17046.0,110112.0,0,0,0
M,0,1,1,1,10593.0,82694.0,0,1,1
M,0,1,0,1,10308.0,108732.0,0,1,1
F,0,0,0,1,5236.0,21240.0,1,1,1
M,0,0,0,1,1952.0,16818.0,1,1,1
F,0,1,0,1,1892.0,16667.0,1,1,1
F,0,1,0,1,3616.0,22303.0,1,1,1
M,0,1,0,1,1740.0,16282.0,1,1,1
M,0,0,0,1,17163.0,73343.0,0,0,0
F,0,0,0,1,14096.0,48100.0,0,1,1
M,0,0,0,1,1189.0,14860.0,1,1,1
M,0,0,0,1,39106.0,312452.0,0,0,0
M,0,1,1,1,6411.0,28153.0,0,1,1
F,0,0,1,1,1143.0,14767.0,1,1,1
F,0,1,0,1,2857.0,39660.0,1,1,1
M,0,1,1,1,901.0,14166.0,1,1,1
M,0,0,0,1,1376.0,15356.0,1,1,1
F,0,0,0,1,7367.0,53231.0,0,1,1
F,0,1,1,1,2378.0,17696.0,1,1,1
F,0,0,0,1,90991.0,278334.0,0,0,1
M,0,0,0,1,3234.0,20044.0,1,1,1
F,1,0,1,1,4171.0,22370.0,1,1,1
F,0,1,1,1,3670.0,47134.0,1,1,1
F,0,1,1,1,9713.0,84571.0,0,0,0
M,0,1,1,1,1887.0,45623.0,1,1,1
F,0,0,0,1,23340.0,76528.0,0,1,1
F,0,1,0,1,8486.0,73991.0,0,1,1
M,0,1,1,1,371.0,38861.0,1,1,1
F,0,0,1,1,10635.0,68136.0,0,1,1
F,0,1,0,1,10490.0,63835.0,0,0,0
M,0,0,0,1,9959.0,31580.0,0,0,1
M,0,0,0,1,446652.0,182482.0,0,0,1
F,0,0,0,1,3618.0,26935.0,1,1,1
M,1,0,0,1,92953.0,89938.0,0,0,0
F,0,1,1,1,5501.0,43094.0,1,1,1
M,1,0,0,1,1923.0,-4316.0,1,1,1
F,0,0,0,1,7727.0,89911.0,0,0,1
F,0,1,0,1,1955.0,0.0,1,1,1
M,0,0,0,1,15855.0,88572.0,0,1,1
M,0,0,0,1,3476.0,45355.0,1,1,1
F,0,0,0,1,33123.0,149380.0,0,0,1
F,0,1,1,1,2368.0,45176.0,1,1,1
F,0,1,0,1,49480.0,164510.0,0,0,1
M,0,0,0,1,10009.0,85411.0,0,1,1
M,0,1,0,1,35343.0,179128.0,0,0,1
M,0,0,1,1,7191.0,69210.0,0,1,1
F,0,1,0,1,1487.0,51619.0,1,1,1
M,0,0,0,1,59235.0,217451.0,0,0,1
M,0,1,1,1,612.0,34868.0,1,1,1
F,0,1,0,1,23297.0,131149.0,0,1,1
F,0,0,0,1,18970.0,85076.0,0,1,1
M,0,0,0,1,7006.0,26195.0,0,0,0
M,0,0,0,1,1462.0,15571.0,1,1,1
M,0,1,0,1,2905.0,16732.0,1,1,1
F,0,1,0,1,1830.0,43727.0,1,1,1
F,0,1,1,1,6935.0,67476.0,0,1,1
M,0,0,0,1,13236.0,29000.0,0,1,1
F,0,1,0,1,27400.0,136689.0,0,0,1
M,0,0,0,1,14568.0,166689.0,0,1,1
M,0,0,0,1,43666.0,230280.0,0,0,0
M,0,0,0,1,800.0,-6753.0,1,1,1
F,0,0,0,1,36333.0,143893.0,0,0,1
F,0,1,1,1,20.0,18702.0,1,1,1
F,0,0,1,1,29555.0,87208.0,0,0,1
F,0,1,0,1,1659.0,16078.0,1,1,1
M,0,0,1,1,17861.0,57769.0,0,0,0
M,0,0,0,1,4104.0,22219.0,0,0,1
F,1,1,0,1,3941.0,52589.0,1,1,1
M,0,0,0,1,43154.0,253042.0,0,0,0
F,0,1,0,1,7088.0,105074.0,0,1,1
M,0,0,0,1,61052.0,178828.0,0,0,0
M,0,0,1,1,9817.0,62494.0,0,1,1
M,0,1,0,1,3119.0,60730.0,1,1,1
M,0,0,1,1,9501.0,36214.0,0,1,1
M,1,0,0,1,83122.0,267904.0,0,0,0
M,0,1,1,1,16262.0,127158.0,0,1,1
F,0,0,0,1,3551.0,20837.0,1,1,1
M,0,1,1,1,3800.0,61636.0,1,1,1
M,0,1,0,1,869.0,31036.0,1,1,1
M,0,1,1,1,3599.0,72658.0,1,1,1
F,0,1,1,1,1186.0,14860.0,1,1,1
M,0,1,0,1,7205.0,94780.0,0,1,1
M,0,0,0,1,1716.0,39792.0,1,1,1
M,0,0,0,1,141.0,34230.0,0,0,0
M,0,0,1,1,1539.0,15775.0,1,1,1
M,0,1,1,1,3220.0,52000.0,1,1,1
F,0,1,1,1,4752.0,72110.0,1,1,1
F,0,0,1,1,5753.0,79574.0,0,1,1
F,0,0,0,1,24527.0,153444.0,0,0,0
F,0,1,0,1,20761.0,164812.0,0,1,1
F,0,1,1,1,1980.0,37469.0,1,1,1
M,0,1,1,1,3190.0,18443.0,1,1,1
F,0,1,0,1,17513.0,120806.0,0,1,1
F,0,1,1,1,4017.0,71039.0,1,1,1
F,0,1,1,1,5870.0,86236.0,0,1,1
F,0,0,0,1,36593.0,78612.0,0,0,1
F,0,0,1,1,1871.0,52529.0,1,1,1
F,0,1,1,1,24.0,52037.0,1,1,1
M,0,0,1,1,40109.0,155660.0,0,0,0
M,0,0,0,1,42636.0,212862.0,0,0,0
F,0,1,0,1,28809.0,137595.0,1,1,1
M,0,0,1,1,8406.0,90648.0,0,1,1
M,0,0,0,1,27310.0,35044.0,0,1,1
M,0,0,0,1,23626.0,209218.0,0,1,1
M,0,0,0,1,177844.0,321215.0,0,0,1
M,0,0,0,1,11808.0,136681.0,0,1,1
F,0,1,1,1,6218.0,67853.0,0,1,1
F,0,0,0,1,33548.0,177302.0,0,0,1
M,0,0,0,1,224556.0,204547.0,0,0,1
M,0,1,0,1,21088.0,116127.0,0,1,1
F,0,0,0,1,19052.0,165292.0,0,1,1
M,0,0,0,1,25120.0,126202.0,0,0,0
F,0,0,1,1,6106.0,66614.0,0,1,1
F,0,0,0,1,55077.0,194132.0,0,0,1
M,0,0,0,1,367.0,32090.0,1,1,1
M,0,0,0,1,19152.0,81256.0,0,1,1
F,0,0,1,1,3504.0,46361.0,1,1,1
F,0,0,0,1,14137.0,110072.0,0,1,1
F,0,0,0,1,82896.0,108960.0,0,0,0
F,0,0,0,1,4384.0,60455.0,1,1,1
M,0,0,0,1,28607.0,135334.0,0,0,1
M,0,0,0,1,18794.0,157691.0,0,1,1
F,0,0,0,1,34231.0,139165.0,0,0,1
F,0,0,0,1,3705.0,50842.0,1,1,1
M,0,0,0,1,104910.0,227772.0,0,0,1
F,0,1,0,1,26903.0,178529.0,0,1,1
